sentence_num,sentence,word,llama_prob
1,'He hated bees and feared encountering a',hive,-2.8525800704956055
1,'He hated bees and feared encountering a',swarm,-1.2269011735916138
1,'He hated bees and feared encountering a',bee,-2.7035722732543945
1,'He hated bees and feared encountering a',nest,-4.047640800476074
1,'He hated bees and feared encountering a',wasp,-2.6891815941780806
1,'He hated bees and feared encountering a',beehive,-5.515329082147218
1,'He hated bees and feared encountering a',sting,-2.8789587020874023
1,'He hated bees and feared encountering a',stinger,-4.671911358833313
1,'He hated bees and feared encountering a',hornet,-3.682050921022892
1,'He hated bees and feared encountering a',disease,-8.421289443969727
1,'He hated bees and feared encountering a',yellowjacket,-8.2280288846232
2,'Grace laughed when he referred to her as a',girl,-3.738607406616211
2,'Grace laughed when he referred to her as a',lady,-5.603204727172852
2,'Grace laughed when he referred to her as a',diva,-8.358365625143051
2,'Grace laughed when he referred to her as a',clown,-8.151036262512207
2,'Grace laughed when he referred to her as a',prude,-8.66802442073822
2,'Grace laughed when he referred to her as a',doll,-7.482954025268555
2,'Grace laughed when he referred to her as a',princess,-5.072774887084961
2,'Grace laughed when he referred to her as a',boy,-5.315241813659668
2,'Grace laughed when he referred to her as a',child,-4.482601165771484
2,'Grace laughed when he referred to her as a',friend,-5.222134590148926
2,'Grace laughed when he referred to her as a',bimbo,-8.892675470560789
2,'Grace laughed when he referred to her as a',star,-7.910560607910156
2,'Grace laughed when he referred to her as a',hooker,-7.318937994539738
2,'Grace laughed when he referred to her as a',slut,-5.831579208374023
2,'Grace laughed when he referred to her as a',feminist,-7.309440612792969
2,'Grace laughed when he referred to her as a',woman,-4.271516799926758
2,'Grace laughed when he referred to her as a',sissy,-7.320616722106934
2,'Grace laughed when he referred to her as a',kid,-6.032268524169922
2,'Grace laughed when he referred to her as a',actress,-11.903055191040039
2,'Grace laughed when he referred to her as a',wizard,-8.485563278198242
2,'Grace laughed when he referred to her as a',dork,-7.978856325149536
2,'Grace laughed when he referred to her as a',stinky,-10.56640076637268
2,'Grace laughed when he referred to her as a',male,-8.13110065460205
2,'Grace laughed when he referred to her as a',relative,-8.62824821472168
2,'Grace laughed when he referred to her as a',twit,-9.171286642551422
2,'Grace laughed when he referred to her as a',harpy,-9.26499891281128
2,'Grace laughed when he referred to her as a',baby,-5.41165828704834
2,'Grace laughed when he referred to her as a',lush,-9.253392219543457
2,'Grace laughed when he referred to her as a',teacher,-6.619316101074219
2,'Grace laughed when he referred to her as a',minx,-8.429213672876358
2,'Grace laughed when he referred to her as a',beautiful,-6.391292572021484
2,'Grace laughed when he referred to her as a',nuthead,-14.050309181213379
2,'Grace laughed when he referred to her as a',monkey,-7.417612075805664
2,'Grace laughed when he referred to her as a',bully,-8.201464653015137
2,'Grace laughed when he referred to her as a',witch,-5.152278900146484
2,'Grace laughed when he referred to her as a',jerk,-8.685812950134277
2,'Grace laughed when he referred to her as a',donkey,-9.13644178211689
2,'Grace laughed when he referred to her as a',spinster,-7.414096959866583
2,'Grace laughed when he referred to her as a',loser,-7.248403549194336
2,'Grace laughed when he referred to her as a',girly girl,-8.141006410121918
2,'Grace laughed when he referred to her as a',wench,-7.974376440048218
2,'Grace laughed when he referred to her as a',ass,-13.588521957397461
2,'Grace laughed when he referred to her as a',cheat,-9.409746170043945
2,'Grace laughed when he referred to her as a',chicken,-7.468530654907227
2,'Grace laughed when he referred to her as a',cow,-6.846900939941406
2,'Grace laughed when he referred to her as a',snob,-7.83517450094223
2,'Grace laughed when he referred to her as a',goddess,-6.483889579772949
2,'Grace laughed when he referred to her as a',puppet,-8.493990898132324
2,'Grace laughed when he referred to her as a',pookie,-13.665446281433105
2,'Grace laughed when he referred to her as a',crazy,-6.7773590087890625
2,'Grace laughed when he referred to her as a',idiot,-10.694588661193848
2,'Grace laughed when he referred to her as a',liar,-6.242032051086426
2,'Grace laughed when he referred to her as a',queen,-6.875655174255371
2,'Grace laughed when he referred to her as a',chick,-7.756045341491699
2,'Grace laughed when he referred to her as a',cancer,-9.489873886108398
2,'Grace laughed when he referred to her as a',girlfriend,-7.323918342590332
2,'Grace laughed when he referred to her as a',goof,-9.281907081604004
2,'Grace laughed when he referred to her as a',bird,-6.91316032409668
2,'Grace laughed when he referred to her as a',mom,-7.651486396789551
2,'Grace laughed when he referred to her as a',buffalo,-10.662273406982422
2,'Grace laughed when he referred to her as a',grouch,-9.684608936309814
2,'Grace laughed when he referred to her as a',scamp,-9.880796432495117
2,'Grace laughed when he referred to her as a',hag,-8.333909749984741
2,'Grace laughed when he referred to her as a',simpleton,-6.520873308181763
3,'The baby's face puckered when she ate something',sour,-3.519990921020508
3,'The baby's face puckered when she ate something',salty,-5.470179557800293
3,'The baby's face puckered when she ate something',bitter,-4.105937957763672
3,'The baby's face puckered when she ate something',slimy,-8.58483157120645
3,'The baby's face puckered when she ate something',tart,-8.939952850341797
3,'The baby's face puckered when she ate something',sweet,-4.089286804199219
4,'The beach is the place we will usually',swim,-6.601316928863525
4,'The beach is the place we will usually',go,-1.353594183921814
4,'The beach is the place we will usually',vacation,-6.347055912017822
4,'The beach is the place we will usually',visit,-3.2497124671936035
4,'The beach is the place we will usually',relax,-4.4558587074279785
4,'The beach is the place we will usually',meet,-3.5441956520080566
4,'The beach is the place we will usually',stay,-4.3218464851379395
4,'The beach is the place we will usually',sunbathe,-8.340981963396189
4,'The beach is the place we will usually',gather,-4.94900369644165
4,'The beach is the place we will usually',rest,-6.912312030792236
4,'The beach is the place we will usually',tan,-12.429877281188965
4,'The beach is the place we will usually',avoid,-7.879316806793213
4,'The beach is the place we will usually',celebrate,-6.236279010772705
4,'The beach is the place we will usually',like,-6.610437870025635
