TargetWords	Condition	ContextCode	N400	Subject	PlausibilityJudgement	Electrode	Cloze	FullText	ON	ZipfFrequency
raise	BC	001	4.62	CP19	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	0.58	CP22	2.55	P3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	5.72	CP19	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	9.54	CP28	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.27	CP22	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	6.25	CP19	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.47	CP06	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.31	CP16	2.55	CPz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.44	CP22	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.33	CP22	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.03	CP06	2.55	P4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-2.07	CP22	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.1	CP06	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	2.71	CP16	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.27	CP28	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-6.77	CP16	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	9	CP28	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.25	CP06	2.55	C4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	1.55	CP06	2.55	CP4	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-4.37	CP22	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	4.57	CP19	2.55	CP3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-1.43	CP16	2.55	Cz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	3.91	CP06	2.55	C3	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
raise	BC	001	-3.4	CP22	2.55	Pz	0.2258064516129032	Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise	0	4.75
