sentence_num,sentence,word,bert_prob
1,'He hated bees and feared encountering a',hive,-1.355818271636963
1,'He hated bees and feared encountering a',swarm,-1.1819825172424316
1,'He hated bees and feared encountering a',bee,-4.902371883392334
1,'He hated bees and feared encountering a',nest,-2.8338875770568848
1,'He hated bees and feared encountering a',wasp,-6.958000659942627
1,'He hated bees and feared encountering a',sting,-3.1965432167053223
1,'He hated bees and feared encountering a',hornet,-7.281097888946533
1,'He hated bees and feared encountering a',disease,-8.183385848999023
2,'Grace laughed when he referred to her as a',girl,-3.617379903793335
2,'Grace laughed when he referred to her as a',lady,-4.006949424743652
2,'Grace laughed when he referred to her as a',diva,-8.567225456237793
2,'Grace laughed when he referred to her as a',clown,-10.336443901062012
2,'Grace laughed when he referred to her as a',doll,-6.516877174377441
2,'Grace laughed when he referred to her as a',princess,-4.99505615234375
2,'Grace laughed when he referred to her as a',boy,-6.522635459899902
2,'Grace laughed when he referred to her as a',child,-2.856717824935913
2,'Grace laughed when he referred to her as a',friend,-2.7399985790252686
2,'Grace laughed when he referred to her as a',star,-8.803788185119629
2,'Grace laughed when he referred to her as a',hooker,-4.463832855224609
2,'Grace laughed when he referred to her as a',feminist,-8.076227188110352
2,'Grace laughed when he referred to her as a',woman,-2.472747564315796
2,'Grace laughed when he referred to her as a',kid,-3.9212405681610107
2,'Grace laughed when he referred to her as a',actress,-12.900327682495117
2,'Grace laughed when he referred to her as a',wizard,-10.638354301452637
2,'Grace laughed when he referred to her as a',male,-9.356371879577637
2,'Grace laughed when he referred to her as a',relative,-6.399580955505371
2,'Grace laughed when he referred to her as a',baby,-4.012166976928711
2,'Grace laughed when he referred to her as a',lush,-7.1206817626953125
2,'Grace laughed when he referred to her as a',teacher,-8.304573059082031
2,'Grace laughed when he referred to her as a',beautiful,-9.183095932006836
2,'Grace laughed when he referred to her as a',monkey,-6.553129196166992
2,'Grace laughed when he referred to her as a',bully,-10.577287673950195
2,'Grace laughed when he referred to her as a',witch,-3.751559019088745
2,'Grace laughed when he referred to her as a',jerk,-8.757003784179688
2,'Grace laughed when he referred to her as a',donkey,-8.10970687866211
2,'Grace laughed when he referred to her as a',loser,-8.200092315673828
2,'Grace laughed when he referred to her as a',ass,-11.845185279846191
2,'Grace laughed when he referred to her as a',cheat,-7.853448867797852
2,'Grace laughed when he referred to her as a',chicken,-7.492815017700195
2,'Grace laughed when he referred to her as a',cow,-5.957676887512207
2,'Grace laughed when he referred to her as a',goddess,-5.215611457824707
2,'Grace laughed when he referred to her as a',puppet,-8.116539001464844
2,'Grace laughed when he referred to her as a',crazy,-11.226771354675293
2,'Grace laughed when he referred to her as a',idiot,-11.66444206237793
2,'Grace laughed when he referred to her as a',liar,-6.660079002380371
2,'Grace laughed when he referred to her as a',queen,-5.171601295471191
2,'Grace laughed when he referred to her as a',chick,-6.989217758178711
2,'Grace laughed when he referred to her as a',cancer,-10.741148948669434
2,'Grace laughed when he referred to her as a',girlfriend,-4.086607933044434
2,'Grace laughed when he referred to her as a',bird,-4.991756439208984
2,'Grace laughed when he referred to her as a',mom,-6.724616050720215
2,'Grace laughed when he referred to her as a',buffalo,-10.270332336425781
3,'The baby's face puckered when she ate something',sour,-4.5598649978637695
3,'The baby's face puckered when she ate something',salty,-3.5135629177093506
3,'The baby's face puckered when she ate something',bitter,-3.224451780319214
3,'The baby's face puckered when she ate something',sweet,-3.595860242843628
4,'The beach is the place we will usually',swim,-5.133659362792969
4,'The beach is the place we will usually',go,-1.0720775127410889
4,'The beach is the place we will usually',vacation,-6.253787040710449
4,'The beach is the place we will usually',visit,-2.5761306285858154
4,'The beach is the place we will usually',relax,-4.096163749694824
4,'The beach is the place we will usually',meet,-2.329915761947632
4,'The beach is the place we will usually',stay,-4.017401695251465
4,'The beach is the place we will usually',gather,-4.489489555358887
4,'The beach is the place we will usually',rest,-4.600275039672852
4,'The beach is the place we will usually',tan,-12.811262130737305
4,'The beach is the place we will usually',avoid,-5.760288238525391
4,'The beach is the place we will usually',celebrate,-7.539670944213867
4,'The beach is the place we will usually',like,-8.658782958984375
4,'The beach is the place we will usually',walk,-3.3837592601776123
4,'The beach is the place we will usually',ch,-17.383827209472656
4,'The beach is the place we will usually',trash,-13.720832824707031
4,'The beach is the place we will usually',picnic,-7.504419326782227
4,'The beach is the place we will usually',park,-5.688593864440918
4,'The beach is the place we will usually',dig,-9.765783309936523
