Item	ItemExpID	context	adj	noun	cond	typ
401	169	Since Jeremy was sick, he stayed in	his	bed	3	train
402	170	The young rider had trouble putting on the	horse's	saddle	3	train
403	171	Before battle, the knight needed to get a	fragile	sword	3	train
404	172	The musician plucked at the strings of his	flat-fronted	guitar	3	train
416	184	An ambitious man, Garrett started his own	consulting	firm	3	filler
422	190	The couple began to brew their	own	beer	3	filler
74	42	He drove the nail into the	rotten	wood	3	exp
172	85	She felt dinner would not be complete unless she made	blueberry	pie	0	exp
39	22	They left the dirty dishes in the	compact	dishwasher	0	exp
366	165	They took her car because he hated to drive in the	heavy	rain	3	exp
9	7	Gary could not believe his son stole that	fast	car	3	exp
51	30	Although she heard it ringing, Nancy was too busy cleaning the chimney to get the	locked	door	0	exp
441	209	Every year the neighborhood had a	holiday	party	3	filler
189	93	Sam practiced every day in anticipation of the	homecoming	dance	0	exp
197	97	The cigar stank and burned a hole in the	leather	couch	3	exp
430	198	The determined student was not discouraged by his	bad	grades	3	filler
137	73	As soon as they reached the sand, he stopped to take off his	clean	shirt	2	exp
69	38	They carelessly dumped the toxic waste into the	winding	river	3	exp
92	51	Their neighbors were surprised to find out that the Smiths had never visited that	national	park	3	exp
237	111	Paul painted the clown's suit blue and gave him a big red	snotty	nose	3	exp
270	126	It didn't get completed because he could not locate the right	ink	pen	0	exp
116	65	After getting out of the shower he sat down to have	continental	coffee	2	exp
452	220	After her house was robbed, Doris installed another	door	lock	3	filler
426	194	Sofia liked riding the Ferris wheel at the	local	fair	3	filler
299	139	Betsy could never tell a	funny	lie	1	exp
363	164	He fell on the floor after tripping on the	oriental	rug	3	exp
100	56	They decided to declaw the cat so he wouldn't tear up the	comfortable	carpet	2	exp
425	193	Karen put the grilled hamburger on a	brioche	bun	3	filler
447	215	Every day, the family worked in their	vegetable	garden	3	filler
469	237	The man went to the butcher to buy	some	meat	3	filler
185	92	The cat was crouched in the tall grass down by the	shady	tree	0	exp
476	244	The flower patch was flawed by an	overgrown	weed	3	filler
