sentence_num,sentence,word,deepseek_prob
1,'He hated bees and feared encountering a',hive,-4.674499034881592
1,'He hated bees and feared encountering a',swarm,-9.291826248168945
1,'He hated bees and feared encountering a',bee,-0.4051968455314636
1,'He hated bees and feared encountering a',nest,-12.280567169189453
1,'He hated bees and feared encountering a',wasp,-26.352930068969727
1,'He hated bees and feared encountering a',beehive,-32.064764738082886
1,'He hated bees and feared encountering a',sting,-10.671974182128906
1,'He hated bees and feared encountering a',stinger,-28.01009178161621
1,'He hated bees and feared encountering a',hornet,-30.121135711669922
1,'He hated bees and feared encountering a',disease,-9.796884536743164
1,'He hated bees and feared encountering a',yellowjacket,-47.49715805053711
2,'Grace laughed when he referred to her as a',girl,-7.013328552246094
2,'Grace laughed when he referred to her as a',lady,-9.143989562988281
2,'Grace laughed when he referred to her as a',diva,-26.53006649017334
2,'Grace laughed when he referred to her as a',clown,-12.571702003479004
2,'Grace laughed when he referred to her as a',prude,-26.70047950744629
2,'Grace laughed when he referred to her as a',doll,-12.55264663696289
2,'Grace laughed when he referred to her as a',princess,-9.181313514709473
2,'Grace laughed when he referred to her as a',boy,-8.4417142868042
2,'Grace laughed when he referred to her as a',child,-8.38449764251709
2,'Grace laughed when he referred to her as a',friend,-7.418290615081787
2,'Grace laughed when he referred to her as a',bimbo,-41.83664512634277
2,'Grace laughed when he referred to her as a',star,-7.288468360900879
2,'Grace laughed when he referred to her as a',hooker,-26.828386306762695
2,'Grace laughed when he referred to her as a',slut,-16.20164680480957
2,'Grace laughed when he referred to her as a',feminist,-14.464340209960938
2,'Grace laughed when he referred to her as a',woman,-6.217726707458496
2,'Grace laughed when he referred to her as a',sissy,-24.691776275634766
2,'Grace laughed when he referred to her as a',kid,-11.895186424255371
2,'Grace laughed when he referred to her as a',actress,-14.541394233703613
2,'Grace laughed when he referred to her as a',wizard,-10.419378280639648
2,'Grace laughed when he referred to her as a',dork,-25.47474765777588
2,'Grace laughed when he referred to her as a',stinky,-26.694232940673828
2,'Grace laughed when he referred to her as a',male,-8.639135360717773
2,'Grace laughed when he referred to her as a',relative,-9.291380882263184
2,'Grace laughed when he referred to her as a',twit,-26.674229621887207
2,'Grace laughed when he referred to her as a',harpy,-27.15532875061035
2,'Grace laughed when he referred to her as a',baby,-8.258870124816895
2,'Grace laughed when he referred to her as a',lush,-10.866363525390625
2,'Grace laughed when he referred to her as a',teacher,-7.283210754394531
2,'Grace laughed when he referred to her as a',minx,-31.175350189208984
2,'Grace laughed when he referred to her as a',beautiful,-7.0877532958984375
2,'Grace laughed when he referred to her as a',nuthead,-26.197818756103516
2,'Grace laughed when he referred to her as a',monkey,-10.31765365600586
2,'Grace laughed when he referred to her as a',bully,-16.2509765625
2,'Grace laughed when he referred to her as a',witch,-10.7372407913208
2,'Grace laughed when he referred to her as a',jerk,-15.172341346740723
2,'Grace laughed when he referred to her as a',donkey,-24.688064575195312
2,'Grace laughed when he referred to her as a',spinster,-27.325474739074707
2,'Grace laughed when he referred to her as a',loser,-11.025153160095215
2,'Grace laughed when he referred to her as a',girly girl,-32.34450054168701
2,'Grace laughed when he referred to her as a',wench,-26.303987503051758
2,'Grace laughed when he referred to her as a',ass,-15.404138565063477
2,'Grace laughed when he referred to her as a',cheat,-12.845376968383789
2,'Grace laughed when he referred to her as a',chicken,-9.3046875
2,'Grace laughed when he referred to her as a',cow,-10.59702205657959
2,'Grace laughed when he referred to her as a',snob,-26.623600006103516
2,'Grace laughed when he referred to her as a',goddess,-11.094145774841309
2,'Grace laughed when he referred to her as a',puppet,-14.17444896697998
2,'Grace laughed when he referred to her as a',pookie,-28.89594268798828
2,'Grace laughed when he referred to her as a',crazy,-8.54297161102295
