sentence_num,sentence,word,deepseek_prob
1,'Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise',raise,-11.497532844543457
2,'The cigar burned a hole in the couch',couch,-11.007177352905273
3,'His first film was a failure, but he learned some techniques in that first try',try,-13.817964553833008
4,'He was hired for the job because of his fresh new look',look,-12.092079162597656
5,'The journal issue that has the new article about diseases of the eye is still in print',print,-14.119195938110352
6,'Every spring they held the annual ball',ball,-12.40832805633545
7,'Penelope started to assemble her new bicycle, but was missing the wheels',wheels,-15.117855072021484
8,'The restaurant will reopen with new management',management,-13.335237503051758
9,'Jennifer disliked walking under the trees at the edge of the park because they were always full of bugs',bugs,-15.364436149597168
10,'The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or pretty',pretty,-14.153429985046387
11,'I don't know why people like to see their initials in print',print,-11.702427864074707
12,'The gem cutter examined the ruby very closely before cutting because he knew that one this large was very rare',rare,-9.455238342285156
13,'They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's temple',temple,-12.99689769744873
14,'He took a job training dogs for the police',police,-7.113074779510498
15,'The conductor gave detailed instructions to the orchestra',orchestra,-7.578580856323242
16,'Down in the basement, Steve and Robert were playing cards',cards,-9.873984336853027
17,'After the most recent price increase, the small business owner decided to order his office supplies from another company',company,-10.94413948059082
18,'Sharon was sad that she had lost her dog',dog,-8.776084899902344
19,'All of armed services will admit women, but females are barred from combat',combat,-6.736902713775635
20,'After the divorce, she had to move out of the expensive house to an apartment that was cheap',cheap,-13.574115753173828
21,'His tactics usually turned out to be beneficial for the business, but they often came in conflict with his morals',morals,-16.84933090209961
22,'Some of his jokes were crummy, but those one-liners were hilarious',hilarious,-14.662225723266602
23,'The inspector from the health department found a roach in a very expensive restaurant',restaurant,-6.681330680847168
24,'The conductor had no idea that the train had been boarded by a known felon',felon,-12.398530960083008
25,'The nurse brought him a glass of juice and his medicine',medicine,-14.65931224822998
26,'The teacher was not looking forward to another year of school',school,-11.014156341552734
27,'Steve skipped his annual checkup for another year',year,-13.174156188964844
28,'The candidate wanted to please everyone without making any commitments, so his speech was deliberately vague',vague,-15.1552734375
29,'She poured water on the plants',plants,-11.393587112426758
30,'Mark liked the older houses, but Susan wanted to buy one that was new and modern',modern,-15.983689308166504
31,'In an old sitcom, he was the wise family doctor',doctor,-5.662483215332031
32,'The government controlled the news media, so most of the reports from the war zone were censored',censored,-30.815661430358887
33,'Grinning wherever he went, it was easy to tell that Carl was proud of his new gold medal',medal,-8.900976181030273
34,'During the summer, the children hung out at the pool',pool,-6.745460510253906
35,'The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be heroic',heroic,-16.14457893371582
36,'The little girl kept a lock on her diary',diary,-6.6391754150390625
37,'Flying low above her, Bernice could hear the plane',plane,-13.221529960632324
38,'Perry heard a grinding noise coming from his car',car,-9.262823104858398
39,'If Jim's manager is incompetent, he has a legitimate right to complain',complain,-16.6882266998291
40,'In the best part of the movie, the hero has to impersonate the villain',villain,-11.857421875
41,'The princess wore a crown',crown,-8.45457935333252
42,'Jason was disappointed when the other scouts scared off the elk by loudly beating the drum',drum,-13.347222328186035
43,'After the flood, the house smelled of mildew and everything in it was ruined',ruined,-15.904990196228027
44,'Everyone on the scene gathered around to look at the accident',accident,-8.150001525878906
45,'The final score of the game was tied',tied,-11.841355323791504
46,'After swimming the English Channel, Bonita was cold and completely exhausted',exhausted,-13.333348274230957
47,'She had the data to back up everything she said, so the hostile questions did not shake her confidence',confidence,-12.03451919555664
48,'The new dress was very pretty, but it was cut from an unusual fabric',fabric,-11.380086898803711
49,'When the little girl saw the big dog lumbering towards her, she began to run',run,-14.084028244018555
50,'From her house a half mile away, Diana could still hear the loud cheers coming from the stadium',stadium,-9.957395553588867
51,'Five ships did not survive the storm',storm,-10.393104553222656
52,'The paramedics on the scene helped the passengers after the big car accident',accident,-10.511008262634277
53,'The pilot spoke to an air traffic controller just before the crash',crash,-9.259510040283203
54,'The boy scouts started a long hike through the forest after having a big lunch',lunch,-13.051311492919922
55,'When traveling, Roger prefers to stick to major roads',roads,-9.991753578186035
56,'While hemming a pair of pants, Bridget accidentally dropped her needle',needle,-8.125731468200684
57,'The rangers say that somewhere in the state park is a bear',bear,-10.822891235351562
58,'The doctor told him his headaches were due to stress',stress,-10.49114990234375
59,'The groups in the parade walked by slowly, each waving their hands',hands,-12.759414672851562
60,'The little girl was very sick, but unfortunately there was no cure',cure,-14.099968910217285
61,'The meteor shower should have been spectacular, but the city lights blocked the view',view,-18.322988510131836
62,'She was unsure how the book would end',end,-15.591461181640625
63,'He was desperate for a job, so finally took something doing door to door sales',sales,-11.980464935302734
64,'The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical terms',terms,-13.676202774047852
65,'Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young',young,-12.731999397277832
66,'In the window, they posted the hours they were open for business',business,-11.468719482421875
67,'They sent the kids with measles home from school because they were contagious',contagious,-15.221389770507812
68,'Outside, Cora could hear the running water',water,-16.70362663269043
69,'At night they often took a short walk',walk,-9.188224792480469
70,'The wealthy author always points out that she wrote four novels before one was published',published,-13.751216888427734
71,'The kitten waited patiently because behind the refrigerator was a mouse',mouse,-9.078544616699219
72,'Norton hates getting up on winter mornings because it is always cold',cold,-14.431822776794434
73,'The fertilizer enriched the soil',soil,-7.791441917419434
74,'The young girl passed her friend a note',note,-10.205045700073242
75,'He tinkered with the engine every weekend until it was absolutely perfect',perfect,-14.338804244995117
76,'When Diane heard the shark warning, she swam as fast as she could for shore',shore,-5.056521892547607
77,'Michael could hear the bells ringing in the tower of the church',church,-12.0132417678833
78,'When he got home from work on the construction site, his clothes were always dirty',dirty,-9.859112739562988
79,'Kevin propped his head up with a pillow as he basked in the hot sun',sun,-11.310784339904785
80,'He bought it without even asking the price',price,-11.475020408630371
81,'Barry has considered proposing to his girlfriend, but he wants to wait until he is ready',ready,-12.970478057861328
82,'John was disappointed to discover a scratch on his new car',car,-11.913860321044922
83,'He was afraid that doing drugs would damage his brain',brain,-10.642964363098145
