sentence_number,sentence,word,cloze_prob
1,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",raise,0.2258064516129032
2,The cigar burned a hole in the,couch,0.1875
3,"His first film was a failure, but he learned some techniques in that first",try,0.03448275862068965
4,He was hired for the job because of his fresh new,look,0.03125
5,The journal issue that has the new article about diseases of the eye is still in,print,0.06896551724137931
6,Every spring they held the annual,ball,0.03125
7,"Penelope started to assemble her new bicycle, but was missing the",wheels,0.09375
8,The restaurant will reopen with new,management,0.1875
9,Jennifer disliked walking under the trees at the edge of the park because they were always full of,bugs,0
10,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",pretty,0.3125
11,I don't know why people like to see their initials in,print,0.06896551724137931
12,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,rare,0.15625
13,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,temple,0.2903225806451613
14,He took a job training dogs for the,police,0.2413793103448276
15,The conductor gave detailed instructions to the,orchestra,0.26666666666666666
16,"Down in the basement, Steve and Robert were playing",cards,0.125
17,"After the most recent price increase, the small business owner decided to order his office supplies from another",company,0.41379310344827586
18,Sharon was sad that she had lost her,dog,0.21875
19,"All of armed services will admit women, but females are barred from",combat,0.4482758620689655
20,"After the divorce, she had to move out of the expensive house to an apartment that was",cheap,0.1724137931034483
21,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",morals,0.41379310344827586
22,"Some of his jokes were crummy, but those one-liners were",hilarious,0.35714285714285715
23,The inspector from the health department found a roach in a very expensive,restaurant,0.4827586206896552
24,The conductor had no idea that the train had been boarded by a known,felon,0.14285714285714285
25,The nurse brought him a glass of juice and his,medicine,0.28125
26,The teacher was not looking forward to another year of,school,0.2857142857142857
27,Steve skipped his annual checkup for another,year,0.2857142857142857
28,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately",vague,0.3103448275862069
29,She poured water on the,plants,0.17857142857142858
30,"Mark liked the older houses, but Susan wanted to buy one that was new and",modern,0.5
31,"In an old sitcom, he was the wise family",doctor,0.14285714285714285
32,"The government controlled the news media, so most of the reports from the war zone were",censored,0.1875
33,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",medal,0.28125
34,"During the summer, the children hung out at the",pool,0.25
35,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",heroic,0.0625
36,The little girl kept a lock on her,diary,0.5517241379310345
37,"Flying low above her, Bernice could hear the",plane,0.2
38,Perry heard a grinding noise coming from his,car,0.3
39,"If Jim's manager is incompetent, he has a legitimate right to",complain,0.53125
40,"In the best part of the movie, the hero has to impersonate the",villain,0.6333333333333333
41,The princess wore a,crown,0.46875
42,Jason was disappointed when the other scouts scared off the elk by loudly beating the,drum,0.25
43,"After the flood, the house smelled of mildew and everything in it was",ruined,0.09375
44,Everyone on the scene gathered around to look at the,accident,0.2413793103448276
45,The final score of the game was,tied,0.5357142857142857
46,"After swimming the English Channel, Bonita was cold and completely",exhausted,0.3333333333333333
47,"She had the data to back up everything she said, so the hostile questions did not shake her",confidence,0.46875
48,"The new dress was very pretty, but it was cut from an unusual",fabric,0.2857142857142857
49,"When the little girl saw the big dog lumbering towards her, she began to",run,0.27586206896551724
50,"From her house a half mile away, Diana could still hear the loud cheers coming from the",stadium,0.4482758620689655
51,Five ships did not survive the,storm,0.43333333333333335
52,The paramedics on the scene helped the passengers after the big car,accident,0.4642857142857143
53,The pilot spoke to an air traffic controller just before the,crash,0.23333333333333336
54,The boy scouts started a long hike through the forest after having a big,lunch,0.2857142857142857
