sentence_num,sentence,word,deepseek_prob
1,'She was glad she had accompanied her friend because she was enjoying the party except for the',music,-5.832562446594238
2,'Shuffle the cards before you',forget,-9.629463195800781
3,'Most men cannot understand why women wear',makeup,-9.144926071166992
4,'Cats loved to be scratched behind the',collar,-9.762056350708008
5,'She thought she had seen a',ghost,-8.254152297973633
6,'She pulled her head out from under the faucet and reached for a',pill,-8.422494888305664
7,'The tenants decided to take their landlord to',breakfast,-11.528633117675781
8,'He settled for California champagne because the imported stuff was too',bitter,-5.750300884246826
9,'In caring for hospitalized patients, a doctor often needs the help of a',nurse,-6.262503147125244
10,'I was finally able to make an appointment for the',test,-8.808053016662598
11,'He was soothed by the gentle',touch,-2.577731132507324
12,'When the power went out the house became',dark,-5.230938911437988
13,'The death of his dog was a great',expense,-8.564775466918945
14,'He scraped the cold food from his',floor,-8.374171257019043
15,'The prisoners were planning their',party,-7.083337306976318
16,'I didn't like the show so I changed the',channel,-3.4566781520843506
17,'I added my name to the',basket,-12.702667236328125
18,'While skiing, Randy broke his',leg,-1.8963440656661987
19,'The breeze lifted the',smell,-9.55698299407959
20,'Giraffes are known for their long necks and zebras for their',speed,-7.769296169281006
21,'The approaching storm made the air very',heavy,-4.158352851867676
22,'The baby cried and upset her',stomach,-7.335212707519531
23,'She couldn't find anything she wanted to',own,-6.903136253356934
24,'Although Jan was usually careful she had forgotten to turn off the',freezers,-26.870939254760742
25,'Josie found she could not bend the elbow of her broken',arm,-3.9860095977783203
26,'She wore heavy wool socks and her sturdiest boots to go walking in the',mud,-10.761937141418457
27,'I think that my stockbroker is a',crook,-28.5193510055542
28,'Tim threw a rock and broke the',camera,-10.049938201904297
29,'As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter',underwear,-18.725069046020508
30,'Although this film was an exception, she generally went to see movies that were',funny,-8.011835098266602
31,'His seat was next to the',window,-13.186042785644531
32,'The bad boy was sent to his',counselor,-12.787339210510254
33,'Liz and Marie sat at the conference table and discussed the topic for the next',lecture,-11.519975662231445
34,'Ruby's grandchildren hired a live-in nurse because they thought she was too old to live',long,-5.994769096374512
35,'The jeweler was asked if he would examine the ring's huge',diamond,-5.9724650382995605
36,'Be careful because the top of the stove is very',dirty,-4.808298110961914
37,'Every morning Susan braids her little girl's hair then helps her dress for',success,-9.151460647583008
38,'The hinges were rusted shut, so he had to pry it open with a',flourish,-13.535263061523438
39,'It didn't get completed because he could not locate the right',dictionary,-9.661197662353516
40,'We followed the path up the hill, and there under the tree was a',cat,-6.416628837585449
41,'John swept the floor with a',broom,-21.81556797027588
42,'The groom took the bride's hand and placed the ring on her',finger,-2.449009656906128
43,'They saw the lightening and heard the',thunder,-0.37501436471939087
44,'The colonel wished the sergeant would treat his command not as a polite request but as a direct',order,-3.446193218231201
45,'The man could not believe that they were all',dead,-4.101573944091797
46,'I just had a new sound system installed in my',car,-3.0562262535095215
47,'The cows moved from the sun into the',shade,-9.022199630737305
48,'The old woman was the only one to see the',accident,-10.165735244750977
49,'I was impressed by how much he',published,-9.505464553833008
50,'Ken built his new house on a quiet',farm,-6.348725318908691
51,'She was having a hard time because she didn't know the',story,-8.882037162780762
52,'When she got there she found that most of the people were',gone,-5.8061747550964355
53,'The teacher saw that some students were cheating and wrote down their',grades,-3.6688156127929688
54,'Peter painted the walls of the bird exhibit light blue to resemble the',sky,-5.549898624420166
55,'The hikers wanted to camp close to the',river,-6.758999824523926
56,'Each night the campers built a huge',igloo,-20.876011848449707
57,'The white gull dove down and caught a',draft,-15.912334442138672
58,'When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare',cash,-12.949514389038086
59,'On hot days, many people sun themselves on the',roof,-9.164133071899414
60,'As soon as they reached the sand he stopped to take off his',watch,-7.529048442840576
61,'The sewer backed up and caused a',stink,-27.457216262817383
62,'After the hurricane, the area around the window was filled with broken',glass,-0.9496864080429077
63,'She dropped the glass and woke up the',baby,-10.42729377746582
64,'When Drew arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent',patio,-14.679526329040527
65,'Tim's friend pushed him into a',hamper,-27.99906063079834
66,'The luggage handler seemed to take great delight in tossing the boxes marked',Ohio,-17.959308624267578
67,'Mr. Smith enjoyed showing people his newly installed',stereo,-8.08077335357666
68,'Every day, rain or shine, the joggers ran up and down the',hill,-4.385659217834473
69,'Our government was secretly supplying the rebels with arms and',ships,-9.666711807250977
70,'George must keep his pet on a',leash,-0.5591508150100708
71,'When she came back from the restroom she found him in deep conversation with a',guard,-8.425508499145508
72,'That ramp has been closed for construction for several',days,-4.728747844696045
