sentence_num,sentence,word,qwen_prob
1,'She was glad she had accompanied her friend because she was enjoying the party except for the',music,-4.91007661819458
2,'Shuffle the cards before you',forget,-13.350662231445312
3,'Most men cannot understand why women wear',makeup,-7.768804550170898
4,'Cats loved to be scratched behind the',collar,-14.845791816711426
5,'She thought she had seen a',ghost,-8.506815910339355
6,'She pulled her head out from under the faucet and reached for a',pill,-12.852706909179688
7,'The tenants decided to take their landlord to',breakfast,-17.225818634033203
8,'He settled for California champagne because the imported stuff was too',bitter,-8.956011772155762
9,'In caring for hospitalized patients, a doctor often needs the help of a',nurse,-5.02543830871582
10,'I was finally able to make an appointment for the',test,-9.252106666564941
11,'He was soothed by the gentle',touch,-6.782904624938965
12,'When the power went out the house became',dark,-4.703860282897949
13,'The death of his dog was a great',expense,-11.907320022583008
14,'He scraped the cold food from his',floor,-9.788369178771973
15,'The prisoners were planning their',party,-12.934173583984375
16,'I didn't like the show so I changed the',channel,-1.3190152645111084
17,'I added my name to the',basket,-12.049954414367676
18,'While skiing, Randy broke his',leg,-12.17255973815918
19,'The breeze lifted the',smell,-12.720178604125977
20,'Giraffes are known for their long necks and zebras for their',speed,-10.752082824707031
21,'The approaching storm made the air very',heavy,-9.222392082214355
22,'The baby cried and upset her',stomach,-8.874570846557617
23,'She couldn't find anything she wanted to',own,-10.633027076721191
24,'Although Jan was usually careful she had forgotten to turn off the',freezers,-11.804734647274017
25,'Josie found she could not bend the elbow of her broken',arm,-1.4962258338928223
26,'She wore heavy wool socks and her sturdiest boots to go walking in the',mud,-7.926637649536133
27,'I think that my stockbroker is a',crook,-4.441068984568119
28,'Tim threw a rock and broke the',camera,-11.211840629577637
29,'As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter',underwear,-13.084550857543945
30,'Although this film was an exception, she generally went to see movies that were',funny,-7.490041255950928
31,'His seat was next to the',window,-3.913062334060669
32,'The bad boy was sent to his',counselor,-14.347317695617676
33,'Liz and Marie sat at the conference table and discussed the topic for the next',lecture,-12.825262069702148
34,'Ruby's grandchildren hired a live-in nurse because they thought she was too old to live',long,-13.30476188659668
35,'The jeweler was asked if he would examine the ring's huge',diamond,-2.6953468322753906
36,'Be careful because the top of the stove is very',dirty,-13.331891059875488
37,'Every morning Susan braids her little girl's hair then helps her dress for',success,-17.719253540039062
38,'The hinges were rusted shut, so he had to pry it open with a',flourish,-17.237577438354492
39,'It didn't get completed because he could not locate the right',dictionary,-12.26120376586914
40,'We followed the path up the hill, and there under the tree was a',cat,-7.643240928649902
41,'John swept the floor with a',broom,-7.830882359587122
42,'The groom took the bride's hand and placed the ring on her',finger,-1.36720609664917
43,'They saw the lightening and heard the',thunder,-4.850386619567871
44,'The colonel wished the sergeant would treat his command not as a polite request but as a direct',order,-1.3173657655715942
45,'The man could not believe that they were all',dead,-6.491231918334961
46,'I just had a new sound system installed in my',car,-11.345712661743164
47,'The cows moved from the sun into the',shade,-3.0458598136901855
48,'The old woman was the only one to see the',accident,-4.478842258453369
49,'I was impressed by how much he',published,-11.750557899475098
50,'Ken built his new house on a quiet',farm,-12.248785972595215
51,'She was having a hard time because she didn't know the',story,-9.282951354980469
52,'When she got there she found that most of the people were',gone,-8.656856536865234
53,'The teacher saw that some students were cheating and wrote down their',grades,-8.502187728881836
54,'Peter painted the walls of the bird exhibit light blue to resemble the',sky,-1.4332866668701172
55,'The hikers wanted to camp close to the',river,-6.757101535797119
56,'Each night the campers built a huge',igloo,-10.149540778715163
57,'The white gull dove down and caught a',draft,-14.79560375213623
58,'When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare',cash,-13.11755084991455
59,'On hot days, many people sun themselves on the',roof,-8.211889266967773
60,'As soon as they reached the sand he stopped to take off his',watch,-7.939702033996582
61,'The sewer backed up and caused a',stink,-8.53718477487564
62,'After the hurricane, the area around the window was filled with broken',glass,-2.5016565322875977
