sentence_number,sentence,word,cloze_prob
1,"When her husband started staying late at the office every night, Joanne began to suspect that he was having an",affair,100
2,"Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an",education,90
3,"Betsy had no desire to enter the working world, so decided to stay at the university and remain an",artist,0
4,The tweeting in the treetops sounded like an,echo,3
5,"When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an",octopus,87
6,Dale was very sorry for what he had said to Bernadette and he knew that he owed her a,cheque,0
7,"When the representative retired in the middle of his term, the state was forced to hold a",parade,0
8,Katie did not like to say words with the letter s because she spoke with a,lisp,93
9,On a street corner in Paris Kim had her portrait painted by a,student,0
10,It was difficult to understand the foreign professor because he had an,accent,100
11,"James is an avid reader, so for his birthday his sister decided to give him a",book,93
12,The old wives' tale says that if you want to keep the doctor away then you should eat a,carrot,0
13,The bakery did not accept credit cards so Peter would have to write an,apology,0
14,"Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an",aeroplane,80
15,"Marge hated baiting the hook, but she knew that it was the only way to catch a",fish,100
16,"Surrounded by mountains, Lola shouted across the valley and heard a",bird,3
17,Without the floats and the marching bands it wasn't much of an,election,0
18,"For the snowman's eyes the children used two pieces of coal, and for its nose they used an",apple,3
19,As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a,newspaper,77
20,Margot had finally decided to buy a house in the suburbs after a year of renting a,flat,90
21,Margot had finally decided to buy a house in the suburbs after a year of renting an,apartment,90
22,You never forget how to ride an,elephant,30
23,The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a,tattoo,93
24,Frank wanted to design a very modern house so he sought advice from a,plumber,0
25,"Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a",pound,3
26,Sue had wanted to go to Tim's birthday party but she was still waiting for an,invitation,77
27,"Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an",allowance,17
28,The highlight of Jack's trip to India was when he got to ride a,bicycle,0
29,When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a,race,27
30,Instead of recording a live album the band decided they would have more control if they recorded in an,apartment,0
31,"When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an",emergency,93
32,I wanted to put my coat in the closet but I could not find an,iron,0
33,When I called his house Nolan was not home but his mother said she could relay a,message,80
34,Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use a,hanger,0
35,Because Bart did not clean his wound properly he ended up getting an,infection,97
36,Because it frequently rains in London it's a good idea to always carry an,umbrella,97
37,Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report a,fire,93
38,No matter how safely you drive your car chances are someday you'll be involved in an,accident,97
39,Jeffrey mailed the letter without a,stamp,93
40,There are always ways to improve your game whether you're an advanced tennis player or merely an,amateur,20
41,From a young age Steven had an interest in filmmaking and had always dreamed of being an,actor,30
42,The pilot had to make an emergency landing in the middle of the desert because he was nowhere near an,airport,73
43,Marie wanted to sample a tiny bit of the sauce so she daintily dipped an,onion,3
44,After Joanne's first book was published she finally felt she could call herself an,author,90
45,Alicia's first client was a failure but her second was a,success,87
46,Dana enjoyed singing in private but was scared to death at the thought of performing in front of an,audience,93
47,The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be a,beginner,17
48,Older children often have a harder time than younger children dealing with the loss of an,adult,13
49,In order to get into an R-rated movie children under 17 must be accompanied by a,parent,7
50,Before little Gloria went to sleep she wanted to hear a,story,87
51,Carrie's father had always joked that two is company but three is a,crowd,93
52,Hannah wanted to live in a small town but her husband preferred to live closer to a,city,90
53,Amelia did not want to go to the bar with her friends after seeing the movie so she made up an,excuse,100
54,When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up an,envelope,90
55,At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced a,finger,50
56,With his khaki shorts and his loud Hawaiian shirt and the camera around his neck you could definitely tell that the man was a,tourist,97
57,Orlando thought that glass was a solid but when he held it under the Bunsen burner it melted and turned into a,liquid,90
58,The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was a,mirage,0
59,As the men stumbled across the desert they thought they saw an oasis on the horizon but it turned out to be an,ocean,3
60,Violet was just learning how to make an omelette so her father began by showing her how to crack a,window,0
61,As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see an,owl,87
62,Because they were playing baseball so close to the house the children ended up shattering an,egg,0
63,Carly wasn't sure if the Venus flytrap was classified as a plant or as a,flower,7
64,The chemistry teacher explained to the class that water and salt were both compounds but that nitrogen was just an,element,60
65,The guys didn't know what to call their band so Trent told everyone to come up with a,name,50
66,Sandra decided that she would work for a cruise line for a year before starting university although she had never been on an,island,7
67,Although the basketball team's defence was very strong they did not have so much of a,coach,0
68,Bob claims to be from outer space but nobody believes that he is actually an,alien,97
69,Being from the mainland Karen never got used to the feeling of living on a,ship,7
70,While Natasha was strolling through the colourful gardens she reached down and picked an,animal,0
71,Marcy did not deal well with praise and had never really learned how to take a,compliment,90
72,Ever since Mr.Barnes had moved away Bobby's football team had been left without an,offense,0
73,The waitress at the next table was trying to scribble everything down but it was obvious that she did not know how to take an,order,90
74,"Whenever Josh had too much to drink, he became belligerent and would try to start a",fight,90
75,The day was breezy so the boy went outside to fly a,kite,97
76,When the pipe broke in the bathroom Felicia looked through the phonebook to find an,architect,0
77,The doctors told Monica not to use her legs too much so soon after her surgery so she often used an,escalator,0
78,Lance had moved to Hollywood in hopes of becoming a,director,7
79,Damon preferred climbing stairs over going up a,wheelchair,0
