sentence_num,sentence,word,bert_prob
1,'Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major',raise,-4.5482707023620605
2,'The cigar burned a hole in the',couch,-7.3812255859375
3,'His first film was a failure, but he learned some techniques in that first',try,-7.130128860473633
4,'He was hired for the job because of his fresh new',look,-3.1331794261932373
5,'The journal issue that has the new article about diseases of the eye is still in',print,-1.0968961715698242
6,'Every spring they held the annual',ball,-2.70255184173584
7,'Penelope started to assemble her new bicycle, but was missing the',wheels,-4.2223029136657715
8,'The restaurant will reopen with new',management,-3.161337375640869
9,'Jennifer disliked walking under the trees at the edge of the park because they were always full of',bugs,-4.642663955688477
10,'The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or',pretty,-3.485422134399414
11,'I don't know why people like to see their initials in',print,-5.515658855438232
12,'The gem cutter examined the ruby very closely before cutting because he knew that one this large was very',rare,-1.4649176597595215
13,'They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's',temple,-0.48682916164398193
14,'He took a job training dogs for the',police,-1.6229491233825684
15,'The conductor gave detailed instructions to the',orchestra,-1.5701884031295776
16,'Down in the basement, Steve and Robert were playing',cards,-1.2462854385375977
17,'After the most recent price increase, the small business owner decided to order his office supplies from another',company,-1.963036060333252
18,'Sharon was sad that she had lost her',dog,-6.296136379241943
19,'All of armed services will admit women, but females are barred from',combat,-1.9499289989471436
20,'After the divorce, she had to move out of the expensive house to an apartment that was',cheap,-4.109708786010742
21,'His tactics usually turned out to be beneficial for the business, but they often came in conflict with his',morals,-5.876277923583984
22,'Some of his jokes were crummy, but those one-liners were',hilarious,-2.1934494972229004
23,'The inspector from the health department found a roach in a very expensive',restaurant,-5.334717750549316
25,'The nurse brought him a glass of juice and his',medicine,-4.1827006340026855
26,'The teacher was not looking forward to another year of',school,-2.533829689025879
27,'Steve skipped his annual checkup for another',year,-1.491673469543457
28,'The candidate wanted to please everyone without making any commitments, so his speech was deliberately',vague,-1.8650630712509155
29,'She poured water on the',plants,-7.636471748352051
30,'Mark liked the older houses, but Susan wanted to buy one that was new and',modern,-1.9629145860671997
31,'In an old sitcom, he was the wise family',doctor,-2.944589614868164
33,'Grinning wherever he went, it was easy to tell that Carl was proud of his new gold',medal,-4.537492752075195
34,'During the summer, the children hung out at the',pool,-4.021726131439209
35,'The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be',heroic,-9.24547004699707
36,'The little girl kept a lock on her',diary,-7.931138038635254
37,'Flying low above her, Bernice could hear the',plane,-6.231925964355469
38,'Perry heard a grinding noise coming from his',car,-6.9473490715026855
39,'If Jim's manager is incompetent, he has a legitimate right to',complain,-4.7724609375
40,'In the best part of the movie, the hero has to impersonate the',villain,-0.39884886145591736
41,'The princess wore a',crown,-1.0719294548034668
42,'Jason was disappointed when the other scouts scared off the elk by loudly beating the',drum,-6.219280242919922
43,'After the flood, the house smelled of mildew and everything in it was',ruined,-4.501376152038574
44,'Everyone on the scene gathered around to look at the',accident,-6.802648544311523
45,'The final score of the game was',tied,-5.273533344268799
46,'After swimming the English Channel, Bonita was cold and completely',exhausted,-0.4248602092266083
47,'She had the data to back up everything she said, so the hostile questions did not shake her',confidence,-2.5834364891052246
48,'The new dress was very pretty, but it was cut from an unusual',fabric,-3.136981248855591
49,'When the little girl saw the big dog lumbering towards her, she began to',run,-3.7812535762786865
50,'From her house a half mile away, Diana could still hear the loud cheers coming from the',stadium,-8.226171493530273
51,'Five ships did not survive the',storm,-3.6757495403289795
52,'The paramedics on the scene helped the passengers after the big car',accident,-2.6782851219177246
53,'The pilot spoke to an air traffic controller just before the',crash,-2.47627592086792
54,'The boy scouts started a long hike through the forest after having a big',lunch,-1.4352495670318604
55,'When traveling, Roger prefers to stick to major',roads,-4.699656009674072
56,'While hemming a pair of pants, Bridget accidentally dropped her',needle,-3.590808153152466
57,'The rangers say that somewhere in the state park is a',bear,-5.403167247772217
58,'The doctor told him his headaches were due to',stress,-0.26063603162765503
59,'The groups in the parade walked by slowly, each waving their',hands,-3.5191869735717773
60,'The little girl was very sick, but unfortunately there was no',cure,-0.7605042457580566
61,'The meteor shower should have been spectacular, but the city lights blocked the',view,-0.2819686233997345
62,'She was unsure how the book would',end,-1.7023495435714722
63,'He was desperate for a job, so finally took something doing door to door',sales,-0.4565291106700897
64,'The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical',terms,-1.333512783050537
65,'Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were',young,-0.23513203859329224
66,'In the window, they posted the hours they were open for',business,-0.5443652272224426
68,'Outside, Cora could hear the running',water,-1.043445110321045
69,'At night they often took a short',walk,-2.001330852508545
70,'The wealthy author always points out that she wrote four novels before one was',published,-0.28559479117393494
71,'The kitten waited patiently because behind the refrigerator was a',mouse,-5.860823631286621
72,'Norton hates getting up on winter mornings because it is always',cold,-0.3800043761730194
73,'The fertilizer enriched the',soil,-0.27467262744903564
74,'The young girl passed her friend a',note,-2.4033138751983643
75,'He tinkered with the engine every weekend until it was absolutely',perfect,-0.14827877283096313
76,'When Diane heard the shark warning, she swam as fast as she could for',shore,-2.084177017211914
77,'Michael could hear the bells ringing in the tower of the',church,-0.4038792550563812
78,'When he got home from work on the construction site, his clothes were always',dirty,-1.6836298704147339
79,'Kevin propped his head up with a pillow as he basked in the hot',sun,-1.2190148830413818
80,'He bought it without even asking the',price,-1.6086056232452393
81,'Barry has considered proposing to his girlfriend, but he wants to wait until he is',ready,-2.0217795372009277
82,'John was disappointed to discover a scratch on his new',car,-5.060728073120117
83,'He was afraid that doing drugs would damage his',brain,-3.3763625621795654
84,'They've been living together for a long time, but don't think they're actually',married,-2.778773546218872
85,'Dennis the Menance was known for making',trouble,-4.795090675354004
86,'When the shooting started they ran for',cover,-0.03452255576848984
87,'The federal agents examined the hundred dollar bill with a microscope to see if it was',real,-3.113440990447998
89,'Alone in the canyon, he was so spooked he was scared by his own',shadow,-3.7203030586242676
90,'Betsy could never tell a',lie,-0.06989765912294388
91,'The bad boy was sent to his',room,-1.562219262123108
92,'The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his',scars,-0.6213462352752686
93,'Trying to evade their captors, the escaped prisoners of war lived in constant',fear,-0.6361975073814392
94,'The tip of the knife was',sharp,-2.5891449451446533
95,'The little girl pulled on the rubber band to see how far it would',stretch,-2.5337443351745605
96,'The soldiers had special night vision goggles so they could see the',enemy,-2.508683443069458
97,'George was born into a wealthy family and has no idea what it's like to be',poor,-0.04140966758131981
98,'Looking for bats, Karen descended into the depths of the',cave,-1.219019889831543
99,'We finally got a decent picture on the TV after an hour of adjusting the',antenna,-6.028697490692139
100,'It took a week to get his car fixed because the parts were out of',stock,-1.957420825958252
101,'The dispute was settled by a third',party,-0.004630319774150848
102,'Our guests should be arriving',soon,-0.5309016704559326
103,'The dough was put in the hot',oven,-1.042874813079834
104,'Andrew was glad that the meeting was very',short,-0.6911540627479553
105,'When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour',bus,-0.3344539403915405
106,'Most shark attacks occur very close to',shore,-0.30126309394836426
107,'He didn't have to spend much money on the car because he found an incredible',deal,-7.614401817321777
108,'The wealthy child went to a private',school,-0.22978666424751282
109,'When you go to bed, turn off the',lights,-0.8307620882987976
110,'George must keep his pet on a',leash,-0.06469938158988953
111,'He didn't have time to file everything on his desk, so he organized it into two',piles,-0.1651470959186554
112,'The whole town came to hear their mayor',speak,-0.4756130576133728
113,'Josie found she could not bend the elbow of her broken',arm,-0.28841230273246765
114,'It's hard to admit when one is',wrong,-1.6865664720535278
115,'Vic asked her to repeat what she had',said,-0.2664974629878998
116,'When they were in London they visited Buckingham',palace,-0.029711419716477394
117,'The agent was sent to South America on a secret',mission,-0.06799086928367615
118,'Sam knew that rain was coming because he could smell it in the',air,-0.021788742393255234
119,'His boss refused to give him a',raise,-3.1894114017486572
120,'She flew in late last night and really didn't get much',sleep,-0.014700077474117279
121,'After a week, they gave up on the missing hikers and called off the',search,-0.131178081035614
122,'Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major',bonus,-6.462096691131592
123,'The cigar burned a hole in the',sofa,-6.619697570800781
124,'His first film was a failure, but he learned some techniques in that first',effort,-2.9453601837158203
125,'He was hired for the job because of his fresh new',image,-5.587018013000488
126,'The journal issue that has the new article about diseases of the eye is still in',press,-5.14400577545166
