sentence_num,sentence,word,deepseek_prob
1,'Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major',raise,-6.160146713256836
2,'The cigar burned a hole in the',couch,-11.899565696716309
3,'His first film was a failure, but he learned some techniques in that first',try,-5.343769073486328
4,'He was hired for the job because of his fresh new',look,-5.450407981872559
5,'The journal issue that has the new article about diseases of the eye is still in',print,-3.7608721256256104
6,'Every spring they held the annual',ball,-9.736656188964844
7,'Penelope started to assemble her new bicycle, but was missing the',wheels,-5.784370422363281
8,'The restaurant will reopen with new',management,-4.869975566864014
9,'Jennifer disliked walking under the trees at the edge of the park because they were always full of',bugs,-1.4039193391799927
10,'The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or',pretty,-6.333390712738037
11,'I don't know why people like to see their initials in',print,-6.9539971351623535
12,'The gem cutter examined the ruby very closely before cutting because he knew that one this large was very',rare,-2.3012728691101074
13,'They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's',temple,-5.1848464012146
14,'He took a job training dogs for the',police,-8.286046981811523
15,'The conductor gave detailed instructions to the',orchestra,-10.094409942626953
16,'Down in the basement, Steve and Robert were playing',cards,-7.0832600593566895
17,'After the most recent price increase, the small business owner decided to order his office supplies from another',company,-2.9384572505950928
18,'Sharon was sad that she had lost her',dog,-6.4469451904296875
19,'All of armed services will admit women, but females are barred from',combat,-5.4791717529296875
20,'After the divorce, she had to move out of the expensive house to an apartment that was',cheap,-5.298508644104004
21,'His tactics usually turned out to be beneficial for the business, but they often came in conflict with his',morals,-12.473237037658691
22,'Some of his jokes were crummy, but those one-liners were',hilarious,-8.352499961853027
23,'The inspector from the health department found a roach in a very expensive',restaurant,-6.209516525268555
24,'The conductor had no idea that the train had been boarded by a known',felon,-15.764338493347168
25,'The nurse brought him a glass of juice and his',medicine,-7.286088466644287
26,'The teacher was not looking forward to another year of',school,-3.261709451675415
27,'Steve skipped his annual checkup for another',year,-0.37573477625846863
28,'The candidate wanted to please everyone without making any commitments, so his speech was deliberately',vague,-4.698825836181641
29,'She poured water on the',plants,-11.249625205993652
30,'Mark liked the older houses, but Susan wanted to buy one that was new and',modern,-5.214335918426514
31,'In an old sitcom, he was the wise family',doctor,-2.144178867340088
32,'The government controlled the news media, so most of the reports from the war zone were',censored,-17.916227340698242
33,'Grinning wherever he went, it was easy to tell that Carl was proud of his new gold',medal,-2.06650447845459
34,'During the summer, the children hung out at the',pool,-6.858643531799316
35,'The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be',heroic,-16.0550537109375
36,'The little girl kept a lock on her',diary,-7.783557415008545
37,'Flying low above her, Bernice could hear the',plane,-6.846935272216797
38,'Perry heard a grinding noise coming from his',car,-3.3711395263671875
39,'If Jim's manager is incompetent, he has a legitimate right to',complain,-7.1662139892578125
40,'In the best part of the movie, the hero has to impersonate the',villain,-3.669609546661377
41,'The princess wore a',crown,-1.749467134475708
42,'Jason was disappointed when the other scouts scared off the elk by loudly beating the',drum,-9.535240173339844
43,'After the flood, the house smelled of mildew and everything in it was',ruined,-3.955271005630493
44,'Everyone on the scene gathered around to look at the',accident,-14.414180755615234
45,'The final score of the game was',tied,-6.091144561767578
46,'After swimming the English Channel, Bonita was cold and completely',exhausted,-3.3938546180725098
47,'She had the data to back up everything she said, so the hostile questions did not shake her',confidence,-0.42804330587387085
48,'The new dress was very pretty, but it was cut from an unusual',fabric,-2.5317530632019043
49,'When the little girl saw the big dog lumbering towards her, she began to',run,-5.078032493591309
50,'From her house a half mile away, Diana could still hear the loud cheers coming from the',stadium,-7.124392509460449
51,'Five ships did not survive the',storm,-10.895922660827637
52,'The paramedics on the scene helped the passengers after the big car',accident,-0.16309627890586853
53,'The pilot spoke to an air traffic controller just before the',crash,-9.159200668334961
54,'The boy scouts started a long hike through the forest after having a big',lunch,-3.4453821182250977
55,'When traveling, Roger prefers to stick to major',roads,-2.6437740325927734
56,'While hemming a pair of pants, Bridget accidentally dropped her',needle,-9.27893352508545
57,'The rangers say that somewhere in the state park is a',bear,-6.501255035400391
58,'The doctor told him his headaches were due to',stress,-7.232643127441406
59,'The groups in the parade walked by slowly, each waving their',hands,-2.0681750774383545
60,'The little girl was very sick, but unfortunately there was no',cure,-9.145659446716309
61,'The meteor shower should have been spectacular, but the city lights blocked the',view,-1.99869704246521
62,'She was unsure how the book would',end,-2.6537599563598633
63,'He was desperate for a job, so finally took something doing door to door',sales,-3.9841725826263428
64,'The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical',terms,-0.020732825621962547
65,'Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were',young,-1.1645427942276
66,'In the window, they posted the hours they were open for',business,-7.563042640686035
67,'They sent the kids with measles home from school because they were',contagious,-6.306007385253906
68,'Outside, Cora could hear the running',water,-6.789258003234863
69,'At night they often took a short',walk,-0.8808205127716064
70,'The wealthy author always points out that she wrote four novels before one was',published,-3.4012417793273926
71,'The kitten waited patiently because behind the refrigerator was a',mouse,-8.450408935546875
72,'Norton hates getting up on winter mornings because it is always',cold,-4.003908157348633
73,'The fertilizer enriched the',soil,-2.0724732875823975
74,'The young girl passed her friend a',note,-6.938417434692383
75,'He tinkered with the engine every weekend until it was absolutely',perfect,-3.586092948913574
76,'When Diane heard the shark warning, she swam as fast as she could for',shore,-13.261828422546387
77,'Michael could hear the bells ringing in the tower of the',church,-6.776548862457275
78,'When he got home from work on the construction site, his clothes were always',dirty,-3.099555253982544
79,'Kevin propped his head up with a pillow as he basked in the hot',sun,-3.1275007724761963
80,'He bought it without even asking the',price,-7.331972599029541
81,'Barry has considered proposing to his girlfriend, but he wants to wait until he is',ready,-3.166351556777954
82,'John was disappointed to discover a scratch on his new',car,-4.656402111053467
83,'He was afraid that doing drugs would damage his',brain,-3.8916819095611572
84,'They've been living together for a long time, but don't think they're actually',married,-5.343514442443848
85,'Dennis the Menance was known for making',trouble,-9.193096160888672
86,'When the shooting started they ran for',cover,-13.95817756652832
87,'The federal agents examined the hundred dollar bill with a microscope to see if it was',real,-3.6799309253692627
88,'Eva turned down the heat and left the sauce on the stove to',simmer,-6.111372470855713
89,'Alone in the canyon, he was so spooked he was scared by his own',shadow,-2.9791996479034424
90,'Betsy could never tell a',lie,-2.9591972827911377
91,'The bad boy was sent to his',room,-5.735739707946777
92,'The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his',scars,-12.376056671142578
93,'Trying to evade their captors, the escaped prisoners of war lived in constant',fear,-1.1415789127349854
94,'The tip of the knife was',sharp,-7.329641342163086
95,'The little girl pulled on the rubber band to see how far it would',stretch,-0.2665037512779236
96,'The soldiers had special night vision goggles so they could see the',enemy,-7.392123222351074
97,'George was born into a wealthy family and has no idea what it's like to be',poor,-2.867049217224121
98,'Looking for bats, Karen descended into the depths of the',cave,-9.407411575317383
99,'We finally got a decent picture on the TV after an hour of adjusting the',antenna,-11.782218933105469
100,'It took a week to get his car fixed because the parts were out of',stock,-1.1187803745269775
101,'The dispute was settled by a third',party,-0.17728905379772186
102,'Our guests should be arriving',soon,-7.509246826171875
103,'The dough was put in the hot',oven,-3.8758535385131836
104,'Andrew was glad that the meeting was very',short,-4.719242572784424
105,'When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour',bus,-0.26002874970436096
106,'Most shark attacks occur very close to',shore,-3.5551106929779053
107,'He didn't have to spend much money on the car because he found an incredible',deal,-3.9880266189575195
108,'The wealthy child went to a private',school,-1.293890357017517
109,'When you go to bed, turn off the',lights,-3.8725180625915527
110,'George must keep his pet on a',leash,-0.5591508150100708
111,'He didn't have time to file everything on his desk, so he organized it into two',piles,-4.280786037445068
112,'The whole town came to hear their mayor',speak,-10.944253921508789
113,'Josie found she could not bend the elbow of her broken',arm,-3.9860095977783203
114,'It's hard to admit when one is',wrong,-4.779288291931152
115,'Vic asked her to repeat what she had',said,-1.3630454540252686
116,'When they were in London they visited Buckingham',palace,-5.638060569763184
117,'The agent was sent to South America on a secret',mission,-0.46086326241493225
118,'Sam knew that rain was coming because he could smell it in the',air,-3.420032024383545
119,'His boss refused to give him a',raise,-2.7697086334228516
120,'She flew in late last night and really didn't get much',sleep,-0.862280011177063
121,'After a week, they gave up on the missing hikers and called off the',search,-3.399838447570801
122,'Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major',bonus,-6.671815872192383
123,'The cigar burned a hole in the',sofa,-12.225262641906738
124,'His first film was a failure, but he learned some techniques in that first',effort,-5.557493209838867
125,'He was hired for the job because of his fresh new',image,-7.671093940734863
126,'The journal issue that has the new article about diseases of the eye is still in',press,-2.364081621170044
127,'Every spring they held the annual',dance,-8.58839225769043
128,'Penelope started to assemble her new bicycle, but was missing the',tires,-6.917879104614258
129,'The restaurant will reopen with new',ownership,-8.446416854858398
130,'Jennifer disliked walking under the trees at the edge of the park because they were always full of',insects,-3.8422508239746094
131,'The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or',attractive,-5.783771991729736
132,'I don't know why people like to see their initials in',ink,-11.110259056091309
