FullText	TargetWords	pos_start	Subject	Item	logfreq	concr	old20	dataset	cloze_p	n400	bline
She was glad she had accompanied her friend because she was enjoying the party except for the music	music	17	dataset 1_01	93	8.953510763007166	4.31	2	Federmeier et al. (2007)	0.182194616977226	-3.717329259012709	5.232096770963743
Shuffle the cards before you forget	forget	5	dataset 1_01	254	9.556126244582746	2.04	1.7	Federmeier et al. (2007)	0	-0.311434998207978	-6.433658817368301
Most men cannot understand why women wear makeup	makeup	7	dataset 1_01	181	6.673297967767654	4.45	2.5	Federmeier et al. (2007)	0.34375	12.174971998770538	0.6736370213750067
Cats loved to be scratched behind the collar	collar	7	dataset 1_01	227	6.285998094508865	4.64	1.75	Federmeier et al. (2007)	0	-13.562169490649012	-5.2161719534319255
She thought she had seen a ghost	ghost	6	dataset 1_01	98	7.532088143541722	3.19	1.85	Federmeier et al. (2007)	0.683266932270916	-1.9042842683465344	0.953505484653414
She pulled her head out from under the faucet and reached for a pill	pill	13	dataset 1_01	70	6.403574197934815	4.72	1	Federmeier et al. (2007)	0.0299896587383661	-4.1597872746350575	-1.1769076133992444
The tenants decided to take their landlord to breakfast	breakfast	8	dataset 1_01	230	8.126222529458525	4.43	3.15	Federmeier et al. (2007)	0	-4.776698317615732	-22.510770832200564
He settled for California champagne because the imported stuff was too bitter	bitter	11	dataset 1_01	231	6.343880434126331	2.93	1.15	Federmeier et al. (2007)	0	-4.4938739552043145	6.924622206878501
In caring for hospitalized patients, a doctor often needs the help of a nurse	nurse	13	dataset 1_01	282	7.738488122494646	4.39	1.75	Federmeier et al. (2007)	0.971	-5.494732306184814	-16.633039991153808
I was finally able to make an appointment for the test	test	10	dataset 1_01	138	8.36380888451688	3.93	1	Federmeier et al. (2007)	0.0296827021494371	-7.941959736302587	-6.10993507439926
He was soothed by the gentle touch	touch	6	dataset 1_01	102	8.927314111060596	3.86	1.6	Federmeier et al. (2007)	0.22808764940239	2.3504756683351102	-0.5513741602574096
When the power went out the house became dark	dark	8	dataset 1_01	337	8.416267272826277	4.29	1	Federmeier et al. (2007)	0.970103092783505	3.8144087938695774	0.4418884169131405
The death of his dog was a great expense	expense	8	dataset 1_01	356	5.942799375126701	2.57	2.4	Federmeier et al. (2007)	0	1.1507161636756789	-16.78824723104063
