subject	segment	cloze	lab	item	n400	FullText	TargetWords
bris01	1	100	bris	19	9.53	When her husband started staying late at the office every night, Joanne began to suspect that he was having an affair	affair
bris01	2	90	bris	15	9.06	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an education	education
bris01	3	0	bris	14	16.76	Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist	artist
bris01	4	3	bris	10	5.03	The tweeting in the treetops sounded like an echo	echo
bris01	5	87	bris	11	-0.28	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus	octopus
bris01	6	0	bris	5	-0.36	Dale was very sorry for what he had said to Bernadette and he knew that he owed her a cheque	cheque
bris01	7	0	bris	17	7.63	When the representative retired in the middle of his term, the state was forced to hold a parade	parade
bris01	8	93	bris	4	7	Katie did not like to say words with the letter s because she spoke with a lisp	lisp
bris01	9	0	bris	13	7.9	On a street corner in Paris Kim had her portrait painted by a student	student
bris01	10	100	bris	3	5.92	It was difficult to understand the foreign professor because he had an accent	accent
bris01	11	93	bris	16	7.03	James is an avid reader, so for his birthday his sister decided to give him a book	book
bris01	12	0	bris	1	6.82	The old wives' tale says that if you want to keep the doctor away then you should eat a carrot	carrot
bris01	13	0	bris	6	5.73	The bakery did not accept credit cards so Peter would have to write an apology	apology
bris01	14	80	bris	7	6.23	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an aeroplane	aeroplane
bris01	15	100	bris	12	5.77	Marge hated baiting the hook, but she knew that it was the only way to catch a fish	fish
bris01	16	3	bris	9	1.7	Surrounded by mountains, Lola shouted across the valley and heard a bird	bird
bris01	17	0	bris	18	-0.86	Without the floats and the marching bands it wasn't much of an election	election
bris01	18	3	bris	2	-1.07	For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple	apple
bris01	19	77	bris	36	-4.84	As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a newspaper	newspaper
bris01	20	90	bris	29	3.36	Margot had finally decided to buy a house in the suburbs after a year of renting a flat	flat
bris01	20	90	bris	29	3.36	Margot had finally decided to buy a house in the suburbs after a year of renting an apartment	apartment
bris01	21	30	bris	34	-6.68	You never forget how to ride an elephant	elephant
bris01	22	93	bris	40	-0.97	The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a tattoo	tattoo
bris01	23	0	bris	37	-7.34	Frank wanted to design a very modern house so he sought advice from a plumber	plumber
bris01	24	3	bris	21	1.07	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a pound	pound
bris01	25	77	bris	31	6.35	Sue had wanted to go to Tim's birthday party but she was still waiting for an invitation	invitation
bris01	26	17	bris	22	5.04	Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an allowance	allowance
bris01	27	0	bris	33	3.84	The highlight of Jack's trip to India was when he got to ride a bicycle	bicycle
bris01	28	27	bris	28	9.26	When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a race	race
bris01	29	0	bris	30	5.67	Instead of recording a live album the band decided they would have more control if they recorded in an apartment	apartment
bris01	30	93	bris	23	-1.13	When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an emergency	emergency
bris01	31	0	bris	26	-2.5	I wanted to put my coat in the closet but I could not find an iron	iron
bris01	32	80	bris	32	-0.47	When I called his house Nolan was not home but his mother said she could relay a message	message
bris01	33	0	bris	25	-2.83	Charlie's wife told him that she was tired of pressing his shirts and that he would have to learn how to use a hanger	hanger
bris01	34	97	bris	39	6.07	Because Bart did not clean his wound properly he ended up getting an infection	infection
bris01	35	97	bris	35	5.22	Because it frequently rains in London it's a good idea to always carry an umbrella	umbrella
bris01	36	93	bris	24	10.97	Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report a fire	fire
bris01	37	97	bris	27	5.21	No matter how safely you drive your car chances are someday you'll be involved in an accident	accident
bris01	38	93	bris	43	3.95	Jeffrey mailed the letter without a stamp	stamp
bris01	39	20	bris	46	4.92	There are always ways to improve your game whether you're an advanced tennis player or merely an amateur	amateur
bris01	40	30	bris	54	-1.22	From a young age Steven had an interest in filmmaking and had always dreamed of being an actor	actor
bris01	41	73	bris	59	12.8	The pilot had to make an emergency landing in the middle of the desert because he was nowhere near an airport	airport
bris01	42	3	bris	50	-1.22	Marie wanted to sample a tiny bit of the sauce so she daintily dipped an onion	onion
bris01	43	90	bris	51	9.8	After Joanne's first book was published she finally felt she could call herself an author	author
bris01	44	87	bris	52	0.8	Alicia's first client was a failure but her second was a success	success
bris01	45	93	bris	55	1.93	Dana enjoyed singing in private but was scared to death at the thought of performing in front of an audience	audience
bris01	46	17	bris	45	7.62	The professional photographer was disqualified from the photo contest because the rules explicitly state that you must be a beginner	beginner
bris01	47	13	bris	42	-3.75	Older children often have a harder time than younger children dealing with the loss of an adult	adult
bris01	48	7	bris	41	-2.72	In order to get into an R-rated movie children under 17 must be accompanied by a parent	parent
bris01	49	87	bris	48	1.88	Before little Gloria went to sleep she wanted to hear a story	story
bris01	50	93	bris	56	-7.69	Carrie's father had always joked that two is company but three is a crowd	crowd
bris01	51	90	bris	60	4.44	Hannah wanted to live in a small town but her husband preferred to live closer to a city	city
bris01	52	100	bris	47	16.56	Amelia did not want to go to the bar with her friends after seeing the movie so she made up an excuse	excuse
bris01	53	90	bris	44	3.7	When Wendy went to pay for the birthday card the clerk pointed out that she had forgotten to pick up an envelope	envelope
bris01	54	50	bris	49	-4.91	At first Victoria did not know why her brother was crying over the sink but then she noticed that he had just sliced a finger	finger
bris01	55	97	bris	80	-1.41	With his khaki shorts and his loud Hawaiian shirt and the camera around his neck you could definitely tell that the man was a tourist	tourist
bris01	56	90	bris	76	4.53	Orlando thought that glass was a solid but when he held it under the Bunsen burner it melted and turned into a liquid	liquid
bris01	57	0	bris	69	0.53	The first time Timmy saw the Pacific he thought it was a lake but his brother laughed and explained to him that it was a mirage	mirage
bris01	58	3	bris	70	1.42	As the men stumbled across the desert they thought they saw an oasis on the horizon but it turned out to be an ocean	ocean
bris01	59	0	bris	77	5.49	Violet was just learning how to make an omelette so her father began by showing her how to crack a window	window
bris01	60	87	bris	67	4.13	As Elizabeth climbed the ladder in the barn she heard a hooting sound coming from the rafters and looked up to see an owl	owl
bris01	61	0	bris	78	-1.25	Because they were playing baseball so close to the house the children ended up shattering an egg	egg
