sentence_num,FullText,target_word,cloz
1,She was glad she had accompanied her friend because she was enjoying the party except for the music,music,0.182194616977226
2,Shuffle the cards before you forget,forget,0
3,Most men cannot understand why women wear makeup,makeup,0.34375
4,Cats loved to be scratched behind the collar,collar,0
5,She thought she had seen a ghost,ghost,0.683266932270916
6,She pulled her head out from under the faucet and reached for a pill,pill,0.0299896587383661
7,The tenants decided to take their landlord to breakfast,breakfast,0
8,He settled for California champagne because the imported stuff was too bitter,bitter,0
9,"In caring for hospitalized patients, a doctor often needs the help of a nurse",nurse,0.971
10,I was finally able to make an appointment for the test,test,0.0296827021494371
11,He was soothed by the gentle touch,touch,0.22808764940239
12,When the power went out the house became dark,dark,0.970103092783505
13,The death of his dog was a great expense,expense,0
14,He scraped the cold food from his floor,floor,0
15,The prisoners were planning their party,party,0
16,I didn't like the show so I changed the channel,channel,0.970103092783505
17,I added my name to the basket,basket,0
18,"While skiing, Randy broke his leg",leg,0.618236472945892
19,The breeze lifted the smell,smell,0
20,Giraffes are known for their long necks and zebras for their speed,speed,0.029
21,The approaching storm made the air very heavy,heavy,0
22,The baby cried and upset her stomach,stomach,0.0290581162324649
23,She couldn't find anything she wanted to own,own,0
24,Although Jan was usually careful she had forgotten to turn off the freezers,freezers,0
25,Josie found she could not bend the elbow of her broken arm,arm,0.912
26,She wore heavy wool socks and her sturdiest boots to go walking in the mud,mud,0.0590590590590591
27,I think that my stockbroker is a crook,crook,0.18200620475698
28,Tim threw a rock and broke the camera,camera,0
29,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter underwear",underwear,0
30,"Although this film was an exception, she generally went to see movies that were funny",funny,0.270811380400422
31,His seat was next to the window,window,0.412825651302605
32,The bad boy was sent to his counselor,counselor,0.0308510638297872
33,Liz and Marie sat at the conference table and discussed the topic for the next lecture,lecture,0.0592369477911647
34,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live long,long,0.029
35,The jeweler was asked if he would examine the ring's huge diamond,diamond,0.678034102306921
36,Be careful because the top of the stove is very dirty,dirty,0.0307529162248144
37,Every morning Susan braids her little girl's hair then helps her dress for success,success,0
38,"The hinges were rusted shut, so he had to pry it open with a flourish",flourish,0
39,It didn't get completed because he could not locate the right dictionary,dictionary,0
40,"We followed the path up the hill, and there under the tree was a cat",cat,0.113095238095238
41,John swept the floor with a broom,broom,0.853
42,The groom took the bride's hand and placed the ring on her finger,finger,0.970103092783505
43,They saw the lightening and heard the thunder,thunder,0.941
44,The colonel wished the sergeant would treat his command not as a polite request but as a direct order,order,0.848609680741504
45,The man could not believe that they were all dead,dead,0.241052631578947
46,I just had a new sound system installed in my car,car,0.79559118236473
47,The cows moved from the sun into the shade,shade,0.884231536926148
48,The old woman was the only one to see the accident,accident,0.207452165156093
49,I was impressed by how much he published,published,0
50,Ken built his new house on a quiet farm,farm,0.0592964824120603
51,She was having a hard time because she didn't know the story,story,0
52,When she got there she found that most of the people were gone,gone,0.395445134575569
53,The teacher saw that some students were cheating and wrote down their grades,grades,0
54,Peter painted the walls of the bird exhibit light blue to resemble the sky,sky,0.759297520661157
55,The hikers wanted to camp close to the river,river,0.294589178356713
56,Each night the campers built a huge igloo,igloo,0
57,The white gull dove down and caught a draft,draft,0
58,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare cash",cash,0
59,"On hot days, many people sun themselves on the roof",roof,0.0608875128998968
60,As soon as they reached the sand he stopped to take off his watch,watch,0
61,The sewer backed up and caused a stink,stink,0
62,"After the hurricane, the area around the window was filled with broken glass",glass,0.941941941941942
63,She dropped the glass and woke up the baby,baby,0.235707121364092
64,"When Drew arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent patio",patio,0
65,Tim's friend pushed him into a hamper,hamper,0
66,The luggage handler seemed to take great delight in tossing the boxes marked Ohio,Ohio,0
67,Mr. Smith enjoyed showing people his newly installed stereo,stereo,0.282515991471215
68,"Every day, rain or shine, the joggers ran up and down the hill",hill,0.412412412412412
69,Our government was secretly supplying the rebels with arms and ships,ships,0
70,George must keep his pet on a leash,leash,0.855289421157685
71,When she came back from the restroom she found him in deep conversation with a guard,guard,0
72,That ramp has been closed for construction for several days,days,0.412
73,The man who was carried into the emergency room had been stabbed in a fight,fight,0.376332622601279
74,"After dinner, they spent a long time over coffee just staring",staring,0.0290581162324649
75,Rachel loves the smell of tobacco but she can't stand all the smoke,smoke,0.881687242798354
76,"As usual, he didn't do well because he had not prepared his plan",plan,0
77,I could not remember his name,name,0.941941941941942
78,The officials tried to evacuate everyone from the area before the explosion,explosion,0.426059979317477
79,Before she arrived he opened a bottle of wine and put on some soft slippers,slippers,0
80,Sharon dried the bowls with a towel,towel,0.849484536082474
81,The little girl refused to go to sleep until he told her a story,story,1
82,Seth was uneasy because he had never liked to lie,lie,0.113659022931206
83,He bought her a pearl necklace for her birthday,birthday,0.856143856143856
84,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three children",children,0.646454265159301
85,Kim was relieved to see that ample food had been made for the hungry,hungry,0
86,Phil put some drops in his fishtank,fishtank,0
87,He grew corn to feed his children,children,0.0290581162324649
88,They stood on the bridge tossing stale bread to the ducks,ducks,0.406815761448349
89,The young boy asked for another drink,drink,0.103529411764706
90,"Whether it is true or not, most women think that men don't know how to cook",cook,0.292494481236203
91,He looked worried because he might have broken his collection,collection,0
92,The queen waited patiently for the man to crack,crack,0
93,Larry chose not to join the army,army,0.32172131147541
94,Most shark attacks occur very close to winter,winter,0
95,You can't open the door with the wrong key,key,0.941941941941942
96,He positioned the violin under his chair,chair,0.0590590590590591
97,The two hold-up men carried guns but didn't shoot,shoot,0.699069286452947
98,Joe went to the hardware store and bought a replacement window at twice the original thickness,thickness,0
99,"As a punishment, his parents immediately took away his toys",toys,0.0618336886993603
100,They were surprised that Jack thought that it was funny,funny,0.157219251336898
101,It was time to hang the new pictures,pictures,0.235943775100402
102,At night the old woman locked the refrigerator,refrigerator,0
103,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another hour,hour,1
104,"In his day, that old guy was one of the best athletes",athletes,0.236418511066398
105,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the race,race,0.0290581162324649
