Subject	Electrode	N400	FullText	Item	Condition
s1	C3	11.662	Feudal lords lived off the labor of an oppressed peasantries	Item 63	Synt
s1	C3	2.7813	The cheapest lunchmeat at this grocery store is this balcony	Item 117	SemCrit
s1	C3	4.7698	She scolded the child for running backwards up an escalation	Item 154	SemCrit
s1	C3	1.871	The sailors feared the harsh discipline of this ship phrenology	Item 98	Sem
s1	C3	1.0293	Romeo longingly admired Juliet as she stood on this balcony	Item 118	Control
s1	C3	-8.7497	The Big Dipper may perhaps be the most famous constellation	Item 128	Control
s1	C3	3.4045	Never stay out past midnight, was his mother's strict admission	Item 102	SemCrit
s1	C3	7.8787	The soldier rammed gunpowder down the barrel of a musket	Item 149	Control
s1	C3	10.973	The child wore a glittery crown with a pink captain	Item 24	Sem
s1	C3	-1.8198	Oh, yes, very impressive, she drawled with a sarcastic inflection	Item 55	Control
s1	C3	-14.582	The hostess greeted her guests with a light social escalator	Item 64	Sem
s1	C3	0.1239	I control my fate; I don't have a predetermined embargo	Item 136	Sem
s1	C3	15.56	Use Pythagoras' theorem to find the length of a hypotenuses	Item 50	Synt
s1	C3	6.795	No light escapes the black hole once within this radii	Item 112	Synt
s1	C3	11.324	The Christmas tree was decorated with many shining glass infantry	Item 114	Sem
s1	C3	3.3078	The thesaurus shows that a synonym for drunkenness is inebriation	Item 96	Control
s1	C3	5.3688	There is a beanbag toss game booth at this destruction	Item 12	Sem
s1	C3	-1.3402	Intestinal problems may indicate a tapeworm, a type of parasites	Item 155	Synt
s1	C3	9.0678	Once Faust signed, he was doomed to this eternal damnations	Item 134	Synt
s1	C3	-8.7146	Some controversial stem cell research requires a fertilized human migraine	Item 76	Sem
s1	C3	0.43801	The ambassador who negotiated the deal was a skilled diplomats	Item 140	Synt
s1	C3	1.573	The Caribbean cruise package includes this kayaking and snorkeling exertion	Item 41	SemCrit
s1	C3	-5.4334	The president of the college handed each graduate an infection	Item 139	Sem
s1	C3	0.25753	The moth attracted a mate by releasing a potent pharaoh	Item 29	SemCrit
s1	C3	-3.3091	The mason built his own house of brick and mortar	Item 93	Control
s1	C3	-10.349	The computer could read text aloud using a speech synthesizer	Item 66	Control
s1	C3	-3.5878	The princess arrived at the ball in a horse-drawn cartridge	Item 109	SemCrit
s1	C3	-2.0707	The ring held small diamonds set around this blue saffron	Item 69	SemCrit
s1	C3	17.683	The teacher interrupted his sentence to make a grammatical correction	Item 20	Control
s1	C3	-2.7171	The museum pass provides five dollars off of each carnival	Item 101	Sem
s1	C3	6.0189	The devout Christian girl travelled to India as a mercenary	Item 132	SemCrit
s1	C3	-1.5238	The preacher believed drunkenness was the cause of much immoralities	Item 51	Synt
s1	C3	10.834	Champagne was once reserved exclusively for the royalty and nobility	Item 80	Control
s1	C3	-6.6254	The casket was carried to the cemetery in a hearse	Item 45	Control
s1	C3	-3.8496	Political corruption and economic hardship fueled a growing anti-government dalmatian	Item 10	Sem
s1	C3	-0.038062	Mediators prevented the dispute from escalating into a violent altercation	Item 4	Control
s1	C3	10.385	A syllogism is a common form of a deductive inferno	Item 123	SemCrit
s1	C3	-2.7599	A lolcat is cat photograph with a humorous ungrammatical captain	Item 97	SemCrit
s1	C3	-0.56282	That grenade explodes stronger than a stick of this dynamites	Item 146	Synt
s1	C3	-2.9288	The zoo had two giraffes, an elephant, and a carburetor	Item 23	Sem
s1	C3	3.2352	Claiming two wrongs make a right is a common fallacies	Item 159	Synt
s1	C3	-0.84285	Considering my previous experiences, I had a rather low expectation	Item 157	Control
s1	C3	10.19	I blacked out and was confused when I regained duration	Item 125	Sem
s1	C3	12.836	The study of sounds in language is known as phrenology	Item 43	SemCrit
s1	C3	10.287	An intense tension headache can be mistaken for a migraine	Item 21	Control
s1	C3	-1.7982	The heat felt even worse because of all this humidities	Item 47	Synt
s1	C3	0.085223	Blizzards are deadly hazards for explorers on an arctic expedition	Item 158	Control
s1	C3	4.4063	Medics cleaned and bandaged the wound to prevent an infection	Item 56	Control
s1	C3	3.7312	After the Holocaust, German history could never escape this infamies	Item 53	Synt
s1	C3	3.4341	The scientist designed an experiment to test a controversial gazette	Item 49	Sem
s1	C3	-4.4372	The artist achieved eternal fame despite not seeking this immortalities	Item 52	Synt
s1	C3	6.644	In the nineties, the Rugrats was a very popular carton	Item 85	SemCrit
s1	C3	3.4339	He had a short attention span and needed constant stimulation	Item 90	Control
s1	C3	0.014631	Disgusted, she pulled away from his touch with a shutter	Item 37	SemCrit
s1	C3	2.3352	After my root canal the dentist prescribed a pain meditation	Item 17	SemCrit
s1	C3	7.0962	The sermon denounced pride and extolled the virtue of alumni	Item 48	Sem
s1	C3	-3.4446	One window on the dilapidated house was missing a migrant	Item 38	Sem
s1	C3	2.4741	Statisticians emphasize that causation is not implied by a hypotenuse	Item 27	Sem
s1	C3	2.7019	Cats were the only company for this lonely old splinter	Item 88	SemCrit
s1	C3	-0.80505	The slogan ""change"" was a focus of that presidential campaigns	Item 122	Synt
s1	C3	8.3988	The castle wall was adorned with a beautiful woven tapestries	Item 67	Synt
s1	C3	-10.411	Handling the rough wooden plank gave the woman a nobility	Item 87	Sem
s1	C3	-4.9077	Edith Piaf's extraordinary singing career was begun in a carburetor	Item 104	SemCrit
s1	C3	3.84	Clownfish have evolved invulnerability to the poison tentacles of anemone	Item 7	Synt
s1	C3	-6.4897	The circus featured an acrobat, a clown, and a cavity	Item 83	Sem
s1	C3	-1.662	My back was so tense I really needed a massage	Item 138	Control
s1	C3	0.0078244	She danced with an elegant masked gentleman at that mascara	Item 62	SemCrit
s1	C3	2.4587	After she deceived her mother, she had a guilty musket	Item 126	Sem
s1	C3	8.4478	The contraction for ""it is"" needs to include an apostrophe	Item 147	Control
s1	C3	3.3859	For lunch, she had brought tomato soup in a thermal	Item 71	SemCrit
s1	C3	13.543	Incensed at the captain, the crew staged a full-scale mutinies	Item 92	Synt
s1	C3	-3.1432	Blinking causes a momentary pupil contraction followed by a dilation	Item 33	Control
s1	C3	-3.278	The detectives discovered the professor was poisoned with this carriage	Item 116	Sem
s1	C3	2.1402	She saved him from the poison by administering a matinee	Item 6	Sem
s1	C3	-0.20815	He idolized her, and her self-esteem benefited from this adorations	Item 144	Synt
s1	C3	-5.8354	The low intensity workout compensated by having a long adoration	Item 143	SemCrit
s1	C3	-1.707	Each winter evening, the family gathers around a warm hearths	Item 46	Synt
s1	C3	19.229	The lecherous satyr chased after a beautiful lithe wood nymph	Item 81	Control
s1	C3	-7.0491	The vicious cyclone tragically caused many deaths and much destructions	Item 36	Synt
s1	C3	-3.6765	Capture or kill the wanted criminal to collect an expedition	Item 120	Sem
s1	C3	3.1479	Rather than reducing violence, the intervention just caused an escalator	Item 153	SemCrit
s1	C3	1.4928	The dentist congratulated me on not having a single cavalry	Item 16	SemCrit
s1	C3	-0.98098	The upscale apartment was complete with all these modern lymph	Item 8	Sem
s1	C3	-3.2745	The herd of cows was out grazing in a pasture	Item 129	Control
s1	C3	6.0218	The child made a caterpillar from an old egg cartons	Item 86	Synt
s1	C3	-5.0566	Rupert Murdoch is the owner of a vast media empires	Item 39	Synt
