sentence_num,sentence,word,bert_prob
1,'When her husband started staying late at the office every night, Joanne began to suspect that he was having an',affair,-0.00011693747364915907
2,'Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an',education,-0.005697913933545351
3,'Betsy had no desire to enter the working world, so decided to stay at the university and remain an',artist,-5.626186847686768
4,'The tweeting in the treetops sounded like an',echo,-4.570232391357422
5,'When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an',octopus,-0.2736666202545166
7,'When the representative retired in the middle of his term, the state was forced to hold a',parade,-9.517806053161621
9,'On a street corner in Paris Kim had her portrait painted by a',student,-5.6688313484191895
10,'It was difficult to understand the foreign professor because he had an',accent,-0.01864970475435257
11,'James is an avid reader, so for his birthday his sister decided to give him a',book,-0.23814326524734497
12,'The old wives' tale says that if you want to keep the doctor away then you should eat a',carrot,-5.199850082397461
13,'The bakery did not accept credit cards so Peter would have to write an',apology,-5.2316203117370605
15,'Marge hated baiting the hook, but she knew that it was the only way to catch a',fish,-0.3909180760383606
16,'Surrounded by mountains, Lola shouted across the valley and heard a',bird,-7.550184726715088
17,'Without the floats and the marching bands it wasn't much of an',election,-13.016759872436523
18,'For the snowman's eyes the children used two pieces of coal, and for its nose they used an',apple,-1.157128930091858
19,'As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a',newspaper,-3.118699073791504
20,'Margot had finally decided to buy a house in the suburbs after a year of renting a',flat,-4.024941921234131
21,'Margot had finally decided to buy a house in the suburbs after a year of renting an',apartment,-0.039157744497060776
22,'You never forget how to ride an',elephant,-1.3479955196380615
23,'The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a',tattoo,-2.5181615352630615
25,'Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a',pound,-3.7749416828155518
26,'Sue had wanted to go to Tim's birthday party but she was still waiting for an',invitation,-0.4954586625099182
27,'Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an',allowance,-1.2589608430862427
28,'The highlight of Jack's trip to India was when he got to ride a',bicycle,-5.302011966705322
29,'When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a',race,-0.46374669671058655
30,'Instead of recording a live album the band decided they would have more control if they recorded in an',apartment,-3.842233180999756
31,'When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an',emergency,-0.0001225396408699453
32,'I wanted to put my coat in the closet but I could not find an',iron,-4.131147861480713
33,'When I called his house Nolan was not home but his mother said she could relay a',message,-0.03744184598326683
35,'Because Bart did not clean his wound properly he ended up getting an',infection,-0.17674106359481812
36,'Because it frequently rains in London it's a good idea to always carry an',umbrella,-0.0004931663861498237
37,'Harris saw smoke billowing out of his neighbours' home and immediately got on the phone to report a',fire,-0.520294189453125
38,'No matter how safely you drive your car chances are someday you'll be involved in an',accident,-0.015371308661997318
39,'Jeffrey mailed the letter without a',stamp,-9.019227981567383
40,'There are always ways to improve your game whether you're an advanced tennis player or merely an',amateur,-0.2134612798690796
