Experiment	Participant	Item	Electrode	Condition	Amplitude	Stim
E1	1-2	11	P4	prorel	-4.86271	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	11	CP4	prorel	-6.60375	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	11	C4	prorel	-9.66876	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	11	P3	prorel	-9.14684	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	11	CP3	prorel	-12.4786	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	11	C3	prorel	-11.5932	Crystal quarrelled with the playboy in the bedroom. She whined that his mansion
E1	1-2	58	P4	prounrel	-22.8991	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	58	CP4	prounrel	-29.0042	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	58	C4	prounrel	-28.8836	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	58	P3	prounrel	-14.3133	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	58	CP3	prounrel	-12.6834	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	58	C3	prounrel	-13.0599	Mulan chose the tall warrior as an ally. She knew that his stories
E1	1-2	120	P4	control	-9.97118	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	120	CP4	control	-10.9857	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	120	C4	control	-9.54089	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	120	P3	control	-7.04774	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	120	CP3	control	-11.4544	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	120	C3	control	-12.9279	Theresa celebrated with the coach after the tournament. She was ecstatic that her team
E1	1-2	133	P4	prounrel	10.9855	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
E1	1-2	133	CP4	prounrel	9.90518	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
E1	1-2	133	C4	prounrel	10.7375	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
E1	1-2	133	P3	prounrel	4.52605	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
E1	1-2	133	CP3	prounrel	5.96325	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
E1	1-2	133	C3	prounrel	6.75267	Bianca soothed the scientist with tea and words of advice. She too was sorry that his honeymoon
