sentence_num,sentence,word,qwen_prob
1,'When her husband started staying late at the office every night, Joanne began to suspect that he was having an',affair,-1.569871425628662
2,'Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an',education,-1.321327567100525
3,'Betsy had no desire to enter the working world, so decided to stay at the university and remain an',artist,-9.92833137512207
4,'The tweeting in the treetops sounded like an',echo,-6.618526458740234
5,'When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an',octopus,-2.3439352959394455
6,'Dale was very sorry for what he had said to Bernadette and he knew that he owed her a',cheque,-11.23300552368164
7,'When the representative retired in the middle of his term, the state was forced to hold a',parade,-13.983038902282715
8,'Katie did not like to say words with the letter s because she spoke with a',lisp,-8.541802898049355
9,'On a street corner in Paris Kim had her portrait painted by a',student,-9.95718002319336
10,'It was difficult to understand the foreign professor because he had an',accent,-3.017181396484375
11,'James is an avid reader, so for his birthday his sister decided to give him a',book,-5.332951545715332
12,'The old wives' tale says that if you want to keep the doctor away then you should eat a',carrot,-8.295255661010742
13,'The bakery did not accept credit cards so Peter would have to write an',apology,-10.827449798583984
14,'Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an',aeroplane,-5.775249905724195
15,'Marge hated baiting the hook, but she knew that it was the only way to catch a',fish,-4.074367523193359
16,'Surrounded by mountains, Lola shouted across the valley and heard a',bird,-11.370869636535645
17,'Without the floats and the marching bands it wasn't much of an',election,-7.7802605628967285
18,'For the snowman's eyes the children used two pieces of coal, and for its nose they used an',apple,-5.164571762084961
19,'As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a',newspaper,-4.3050689697265625
20,'Margot had finally decided to buy a house in the suburbs after a year of renting a',flat,-9.308272361755371
21,'Margot had finally decided to buy a house in the suburbs after a year of renting an',apartment,-0.8196275234222412
22,'You never forget how to ride an',elephant,-6.131651401519775
23,'The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a',tattoo,-3.6523475646972656
24,'Frank wanted to design a very modern house so he sought advice from a',plumber,-17.805490493774414
