sentence_num,FullText,target_word,cloz
1,"When her husband started staying late at the office every night, Joanne began to suspect that he was having an affair",affair,100
2,"Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an education",education,90
3,"Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist",artist,0
4,The tweeting in the treetops sounded like an echo,echo,3
5,"When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus",octopus,87
6,Dale was very sorry for what he had said to Bernadette and he knew that he owed her a cheque,cheque,0
7,"When the representative retired in the middle of his term, the state was forced to hold a parade",parade,0
8,Katie did not like to say words with the letter s because she spoke with a lisp,lisp,93
9,On a street corner in Paris Kim had her portrait painted by a student,student,0
10,It was difficult to understand the foreign professor because he had an accent,accent,100
11,"James is an avid reader, so for his birthday his sister decided to give him a book",book,93
12,The old wives' tale says that if you want to keep the doctor away then you should eat a carrot,carrot,0
13,The bakery did not accept credit cards so Peter would have to write an apology,apology,0
14,"Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an aeroplane",aeroplane,80
15,"Marge hated baiting the hook, but she knew that it was the only way to catch a fish",fish,100
16,"Surrounded by mountains, Lola shouted across the valley and heard a bird",bird,3
17,Without the floats and the marching bands it wasn't much of an election,election,0
18,"For the snowman's eyes the children used two pieces of coal, and for its nose they used an apple",apple,3
19,As he walked past the corner drugstore on his way to work Carl skimmed the headlines and decided to go ahead and buy a newspaper,newspaper,77
20,Margot had finally decided to buy a house in the suburbs after a year of renting a flat,flat,90
21,Margot had finally decided to buy a house in the suburbs after a year of renting an apartment,apartment,90
22,You never forget how to ride an elephant,elephant,30
23,The Hell's Angel rolled up the sleeve of his leather jacket to show the girls where he had gotten a tattoo,tattoo,93
24,Frank wanted to design a very modern house so he sought advice from a plumber,plumber,0
25,"Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a pound",pound,3
26,Sue had wanted to go to Tim's birthday party but she was still waiting for an invitation,invitation,77
27,"Andrew complained that the only place he could afford was Poundland, after his grandmother gave him an allowance",allowance,17
28,The highlight of Jack's trip to India was when he got to ride a bicycle,bicycle,0
29,When we saw the finish line and the pylons sectioning off part of the road we knew that there must have been a race,race,27
30,Instead of recording a live album the band decided they would have more control if they recorded in an apartment,apartment,0
31,"When she was filling out the paperwork, Merrill had to write down the name of someone who could be contacted in case of an emergency",emergency,93
32,I wanted to put my coat in the closet but I could not find an iron,iron,0
33,When I called his house Nolan was not home but his mother said she could relay a message,message,80
